train_size,accuracy
0.35,0.7065868263473054
0.37,0.7345679012345679
0.38,0.7215189873417721
0.40,0.7272727272727273
0.42,0.7315436241610739
0.44,0.7517241379310344
0.45,0.7642857142857142
0.47,0.7720588235294118
0.49,0.7727272727272727
0.51,0.7559055118110236
0.52,0.7804878048780488
0.54,0.7711864406779662
0.56,0.8157894736842105
0.57,0.7818181818181819
0.59,0.7714285714285715
0.61,0.7920792079207921
0.63,0.7083333333333334
0.64,0.7608695652173914
0.66,0.7931034482758621
0.68,0.7469879518072289
0.69,0.7468354430379747
0.71,0.7567567567567568
0.73,0.8428571428571429
0.75,0.6923076923076923
0.76,0.7868852459016393
0.78,0.7543859649122807
0.80,0.8461538461538461
0.82,0.75
0.83,0.7906976744186046
0.85,0.8461538461538461
mean±std,0.7658±0.0382
