train_size,accuracy
0.35,0.844311377245509
0.37,0.8765432098765432
0.38,0.8734177215189873
0.40,0.8636363636363636
0.42,0.8456375838926175
0.44,0.8689655172413793
0.45,0.8714285714285714
0.47,0.8602941176470589
0.49,0.8712121212121212
0.51,0.8818897637795275
0.52,0.8699186991869918
0.54,0.864406779661017
0.56,0.8421052631578947
0.57,0.8818181818181818
0.59,0.8666666666666667
0.61,0.8712871287128713
0.63,0.90625
0.64,0.8804347826086957
0.66,0.8160919540229885
0.68,0.8674698795180723
0.69,0.810126582278481
0.71,0.8513513513513513
0.73,0.8714285714285714
0.75,0.8769230769230769
0.76,0.7868852459016393
0.78,0.8771929824561403
0.80,0.9038461538461539
0.82,0.8958333333333334
0.83,0.813953488372093
0.85,0.8461538461538461
mean±std,0.8619±0.0267
