train_size,handwritten_accuracy,printed_accuracy
0.35,0.7850467289719626,0.7586206896551724
0.37,0.7980769230769231,0.7192982456140351
0.38,0.801980198019802,0.7454545454545455
0.40,0.797979797979798,0.6851851851851852
0.42,0.8125,0.7307692307692307
0.44,0.7741935483870968,0.7254901960784313
0.45,0.7777777777777778,0.6530612244897959
0.47,0.7816091954022989,0.6666666666666666
0.49,0.8095238095238095,0.7608695652173914
0.51,0.7804878048780488,0.8
0.52,0.810126582278481,0.7674418604651163
0.54,0.8289473684210527,0.7560975609756098
0.56,0.7671232876712328,0.75
0.57,0.7857142857142857,0.7105263157894737
0.59,0.7794117647058824,0.7567567567567568
0.61,0.8153846153846154,0.7142857142857143
0.63,0.8064516129032258,0.7058823529411765
0.64,0.847457627118644,0.84375
0.66,0.8392857142857143,0.7096774193548387
0.68,0.8301886792452831,0.6896551724137931
0.69,0.7647058823529411,0.8214285714285714
0.71,0.8333333333333334,0.8076923076923077
0.73,0.8444444444444444,0.8
0.75,0.7619047619047619,0.6521739130434783
0.76,0.7692307692307693,0.7727272727272727
0.78,0.8333333333333334,0.65
0.80,0.6764705882352942,0.8333333333333334
0.82,0.7741935483870968,0.47058823529411764
0.83,0.75,0.9333333333333333
0.85,0.84,0.8571428571428571
mean±std,0.7959±0.0353,0.7416±0.0823
