train_size,accuracy
0.35,0.718562874251497
0.37,0.7222222222222222
0.38,0.7468354430379747
0.40,0.7727272727272727
0.42,0.7315436241610739
0.44,0.7655172413793103
0.45,0.7142857142857143
0.47,0.7279411764705882
0.49,0.7424242424242424
0.51,0.7480314960629921
0.52,0.7398373983739838
0.54,0.7457627118644068
0.56,0.8157894736842105
0.57,0.7272727272727273
0.59,0.7142857142857143
0.61,0.801980198019802
0.63,0.7604166666666666
0.64,0.8152173913043478
0.66,0.7931034482758621
0.68,0.7951807228915663
0.69,0.7974683544303798
0.71,0.7297297297297297
0.73,0.8142857142857143
0.75,0.8
0.76,0.819672131147541
0.78,0.7894736842105263
0.80,0.8076923076923077
0.82,0.7916666666666666
0.83,0.8372093023255814
0.85,0.8461538461538461
mean±std,0.7711±0.0392
