train_size,accuracy
0.35,0.6766467065868264
0.37,0.6172839506172839
0.38,0.620253164556962
0.40,0.6883116883116883
0.42,0.6308724832214765
0.44,0.6413793103448275
0.45,0.6214285714285714
0.47,0.6691176470588235
0.49,0.6363636363636364
0.51,0.6771653543307087
0.52,0.6910569105691057
0.54,0.7033898305084746
0.56,0.6666666666666666
0.57,0.6727272727272727
0.59,0.7047619047619048
0.61,0.6138613861386139
0.63,0.71875
0.64,0.6086956521739131
0.66,0.5747126436781609
0.68,0.6746987951807228
0.69,0.6329113924050633
0.71,0.6351351351351351
0.73,0.6571428571428571
0.75,0.6923076923076923
0.76,0.6885245901639344
0.78,0.6666666666666666
0.80,0.6923076923076923
0.82,0.7083333333333334
0.83,0.627906976744186
0.85,0.6923076923076923
mean±std,0.6601±0.0354
