train_size,accuracy
0.35,0.8622754491017964
0.37,0.8209876543209876
0.38,0.8670886075949367
0.40,0.8311688311688312
0.42,0.8590604026845637
0.44,0.8551724137931035
0.45,0.8714285714285714
0.47,0.875
0.49,0.8712121212121212
0.51,0.8818897637795275
0.52,0.8943089430894309
0.54,0.8728813559322034
0.56,0.8947368421052632
0.57,0.8636363636363636
0.59,0.8952380952380953
0.61,0.8217821782178217
0.63,0.90625
0.64,0.8695652173913043
0.66,0.8620689655172413
0.68,0.8313253012048193
0.69,0.8987341772151899
0.71,0.8513513513513513
0.73,0.9142857142857143
0.75,0.8769230769230769
0.76,0.819672131147541
0.78,0.9122807017543859
0.80,0.9423076923076923
0.82,0.8958333333333334
0.83,0.8837209302325582
0.85,0.9230769230769231
mean±std,0.8742±0.0303
