train_size,handwritten_accuracy,printed_accuracy
0.35,0.7850467289719626,0.7413793103448276
0.37,0.7596153846153846,0.7368421052631579
0.38,0.7722772277227723,0.7636363636363637
0.40,0.7777777777777778,0.6851851851851852
0.42,0.7916666666666666,0.7115384615384616
0.44,0.7849462365591398,0.7254901960784313
0.45,0.7555555555555555,0.6938775510204082
0.47,0.7931034482758621,0.6875
0.49,0.8214285714285714,0.717391304347826
0.51,0.7926829268292683,0.7333333333333333
0.52,0.7848101265822784,0.6976744186046512
0.54,0.7894736842105263,0.8292682926829268
0.56,0.7397260273972602,0.7
0.57,0.7714285714285715,0.7631578947368421
0.59,0.7058823529411765,0.7297297297297297
0.61,0.7692307692307693,0.6857142857142857
0.63,0.8064516129032258,0.7352941176470589
0.64,0.7966101694915254,0.71875
0.66,0.7857142857142857,0.7741935483870968
0.68,0.7735849056603774,0.7586206896551724
0.69,0.7647058823529411,0.7142857142857143
0.71,0.6875,0.7307692307692307
0.73,0.7555555555555555,0.72
0.75,0.7857142857142857,0.782608695652174
0.76,0.7948717948717948,0.6363636363636364
0.78,0.75,0.75
0.80,0.7647058823529411,0.8333333333333334
0.82,0.8387096774193549,0.7058823529411765
0.83,0.75,0.7333333333333333
0.85,0.84,0.7857142857142857
mean±std,0.7763±0.0317,0.7327±0.0413
