train_size,accuracy
0.35,0.6227544910179641
0.37,0.6172839506172839
0.38,0.5949367088607594
0.40,0.6493506493506493
0.42,0.6510067114093959
0.44,0.7034482758620689
0.45,0.6785714285714286
0.47,0.6838235294117647
0.49,0.7045454545454546
0.51,0.6456692913385826
0.52,0.6585365853658537
0.54,0.6864406779661016
0.56,0.6403508771929824
0.57,0.6818181818181818
0.59,0.7428571428571429
0.61,0.6732673267326733
0.63,0.6145833333333334
0.64,0.6630434782608695
0.66,0.6781609195402298
0.68,0.6385542168674698
0.69,0.6708860759493671
0.71,0.6891891891891891
0.73,0.7428571428571429
0.75,0.7538461538461538
0.76,0.7704918032786885
0.78,0.6666666666666666
0.80,0.7115384615384616
0.82,0.7291666666666666
0.83,0.6744186046511628
0.85,0.717948717948718
mean±std,0.6785±0.0423
