train_size,accuracy
0.35,0.7005988023952096
0.37,0.7839506172839507
0.38,0.7531645569620253
0.40,0.6948051948051948
0.42,0.7785234899328859
0.44,0.7379310344827587
0.45,0.7428571428571429
0.47,0.7647058823529411
0.49,0.7878787878787878
0.51,0.7559055118110236
0.52,0.7642276422764228
0.54,0.788135593220339
0.56,0.7894736842105263
0.57,0.7272727272727273
0.59,0.8095238095238095
0.61,0.7227722772277227
0.63,0.6770833333333334
0.64,0.8152173913043478
0.66,0.7471264367816092
0.68,0.7951807228915663
0.69,0.7974683544303798
0.71,0.7297297297297297
0.73,0.7428571428571429
0.75,0.7846153846153846
0.76,0.7540983606557377
0.78,0.7719298245614035
0.80,0.7692307692307693
0.82,0.6875
0.83,0.813953488372093
0.85,0.8205128205128205
mean±std,0.7603±0.0381
