train_size,accuracy
0.35,0.8682634730538922
0.37,0.8518518518518519
0.38,0.8417721518987342
0.40,0.8636363636363636
0.42,0.8590604026845637
0.44,0.8551724137931035
0.45,0.8285714285714286
0.47,0.8970588235294118
0.49,0.8484848484848485
0.51,0.84251968503937
0.52,0.8861788617886179
0.54,0.8305084745762712
0.56,0.8596491228070176
0.57,0.8727272727272727
0.59,0.8571428571428571
0.61,0.8613861386138614
0.63,0.84375
0.64,0.8695652173913043
0.66,0.8390804597701149
0.68,0.8554216867469879
0.69,0.8607594936708861
0.71,0.8783783783783784
0.73,0.8857142857142857
0.75,0.8461538461538461
0.76,0.8688524590163934
0.78,0.8245614035087719
0.80,0.8076923076923077
0.82,0.875
0.83,0.9302325581395349
0.85,0.8974358974358975
mean±std,0.8602±0.0243
