train_size,accuracy
0.35,0.7125748502994012
0.37,0.7222222222222222
0.38,0.7025316455696202
0.40,0.6623376623376623
0.42,0.7449664429530202
0.44,0.6896551724137931
0.45,0.75
0.47,0.7867647058823529
0.49,0.8484848484848485
0.51,0.7874015748031497
0.52,0.8292682926829268
0.54,0.7796610169491526
0.56,0.7982456140350878
0.57,0.7545454545454545
0.59,0.819047619047619
0.61,0.8217821782178217
0.63,0.8333333333333334
0.64,0.782608695652174
0.66,0.7931034482758621
0.68,0.8313253012048193
0.69,0.7974683544303798
0.71,0.7972972972972973
0.73,0.8142857142857143
0.75,0.8153846153846154
0.76,0.8032786885245902
0.78,0.7894736842105263
0.80,0.8846153846153846
0.82,0.8125
0.83,0.9069767441860465
0.85,0.8461538461538461
mean±std,0.7906±0.0541
