train_size,accuracy
0.35,0.6766467065868264
0.37,0.691358024691358
0.38,0.6075949367088608
0.40,0.6948051948051948
0.42,0.7114093959731543
0.44,0.7241379310344828
0.45,0.6785714285714286
0.47,0.6911764705882353
0.49,0.696969696969697
0.51,0.6771653543307087
0.52,0.6829268292682927
0.54,0.6610169491525424
0.56,0.7368421052631579
0.57,0.6818181818181818
0.59,0.6952380952380952
0.61,0.7128712871287128
0.63,0.7291666666666666
0.64,0.6630434782608695
0.66,0.6551724137931034
0.68,0.7590361445783133
0.69,0.7215189873417721
0.71,0.6621621621621622
0.73,0.6428571428571429
0.75,0.7230769230769231
0.76,0.7704918032786885
0.78,0.7368421052631579
0.80,0.6346153846153846
0.82,0.6875
0.83,0.7674418604651163
0.85,0.7948717948717948
mean±std,0.6989±0.0418
