train_size,accuracy
0.35,0.8203592814371258
0.37,0.8209876543209876
0.38,0.8164556962025317
0.40,0.8116883116883117
0.42,0.7986577181208053
0.44,0.8482758620689655
0.45,0.8285714285714286
0.47,0.8161764705882353
0.49,0.7954545454545454
0.51,0.8267716535433071
0.52,0.8373983739837398
0.54,0.847457627118644
0.56,0.8070175438596491
0.57,0.8272727272727273
0.59,0.780952380952381
0.61,0.8415841584158416
0.63,0.8645833333333334
0.64,0.8260869565217391
0.66,0.8275862068965517
0.68,0.8072289156626506
0.69,0.8987341772151899
0.71,0.8648648648648649
0.73,0.8
0.75,0.8769230769230769
0.76,0.8524590163934426
0.78,0.8421052631578947
0.80,0.8461538461538461
0.82,0.8541666666666666
0.83,0.9069767441860465
0.85,0.8974358974358975
mean±std,0.8363±0.0308
