train_size,handwritten_accuracy,printed_accuracy
0.35,0.7663551401869159,0.6724137931034483
0.37,0.75,0.6491228070175439
0.38,0.693069306930693,0.6363636363636364
0.40,0.7676767676767676,0.6296296296296297
0.42,0.71875,0.6730769230769231
0.44,0.7311827956989247,0.7254901960784313
0.45,0.7666666666666667,0.7142857142857143
0.47,0.7931034482758621,0.7291666666666666
0.49,0.7857142857142857,0.717391304347826
0.51,0.8048780487804879,0.6222222222222222
0.52,0.7848101265822784,0.6976744186046512
0.54,0.7105263157894737,0.7317073170731707
0.56,0.7123287671232876,0.7
0.57,0.8142857142857143,0.6578947368421053
0.59,0.7794117647058824,0.7027027027027027
0.61,0.7384615384615385,0.7428571428571429
0.63,0.8064516129032258,0.6764705882352942
0.64,0.8305084745762712,0.75
0.66,0.8571428571428571,0.6451612903225806
0.68,0.8490566037735849,0.6896551724137931
0.69,0.8235294117647058,0.6071428571428571
0.71,0.7708333333333334,0.6923076923076923
0.73,0.7333333333333333,0.76
0.75,0.7619047619047619,0.782608695652174
0.76,0.717948717948718,0.6818181818181818
0.78,0.8611111111111112,0.75
0.80,0.7941176470588235,0.6666666666666666
0.82,0.7419354838709677,0.7647058823529411
0.83,0.75,0.8
0.85,0.76,0.7142857142857143
mean±std,0.7725±0.0441,0.6994±0.0481
