train_size,accuracy
0.35,0.6287425149700598
0.37,0.6172839506172839
0.38,0.6329113924050633
0.40,0.6038961038961039
0.42,0.6308724832214765
0.44,0.593103448275862
0.45,0.6785714285714286
0.47,0.6397058823529411
0.49,0.6363636363636364
0.51,0.5511811023622047
0.52,0.6910569105691057
0.54,0.6610169491525424
0.56,0.6491228070175439
0.57,0.6545454545454545
0.59,0.6476190476190476
0.61,0.6237623762376238
0.63,0.6770833333333334
0.64,0.717391304347826
0.66,0.7011494252873564
0.68,0.6867469879518072
0.69,0.6835443037974683
0.71,0.6891891891891891
0.73,0.7142857142857143
0.75,0.7076923076923077
0.76,0.7377049180327869
0.78,0.6666666666666666
0.80,0.7307692307692307
0.82,0.7291666666666666
0.83,0.6976744186046512
0.85,0.6923076923076923
mean±std,0.6657±0.0439
