train_size,accuracy
0.35,0.7005988023952096
0.37,0.7037037037037037
0.38,0.6645569620253164
0.40,0.6818181818181818
0.42,0.6845637583892618
0.44,0.7241379310344828
0.45,0.6857142857142857
0.47,0.7426470588235294
0.49,0.6818181818181818
0.51,0.6614173228346457
0.52,0.7154471544715447
0.54,0.7627118644067796
0.56,0.7631578947368421
0.57,0.6727272727272727
0.59,0.7142857142857143
0.61,0.7128712871287128
0.63,0.7083333333333334
0.64,0.7608695652173914
0.66,0.7701149425287356
0.68,0.7349397590361446
0.69,0.7468354430379747
0.71,0.6756756756756757
0.73,0.7714285714285715
0.75,0.7692307692307693
0.76,0.6721311475409836
0.78,0.7894736842105263
0.80,0.75
0.82,0.7083333333333334
0.83,0.7906976744186046
0.85,0.7948717948717948
mean±std,0.7238±0.0407
