train_size,accuracy
0.35,0.8383233532934131
0.37,0.8580246913580247
0.38,0.8417721518987342
0.40,0.8506493506493507
0.42,0.8590604026845637
0.44,0.8620689655172413
0.45,0.8785714285714286
0.47,0.8455882352941176
0.49,0.8787878787878788
0.51,0.8818897637795275
0.52,0.8292682926829268
0.54,0.864406779661017
0.56,0.8508771929824561
0.57,0.8181818181818182
0.59,0.8476190476190476
0.61,0.8514851485148515
0.63,0.8645833333333334
0.64,0.8260869565217391
0.66,0.8620689655172413
0.68,0.7710843373493976
0.69,0.7721518987341772
0.71,0.7432432432432432
0.73,0.8142857142857143
0.75,0.8
0.76,0.819672131147541
0.78,0.8245614035087719
0.80,0.8461538461538461
0.82,0.8541666666666666
0.83,0.8604651162790697
0.85,0.8205128205128205
mean±std,0.8379±0.0323
