train_size,handwritten_accuracy,printed_accuracy
0.35,0.7476635514018691,0.6724137931034483
0.37,0.7211538461538461,0.631578947368421
0.38,0.7128712871287128,0.6545454545454545
0.40,0.7474747474747475,0.6851851851851852
0.42,0.6770833333333334,0.5961538461538461
0.44,0.6989247311827957,0.6470588235294118
0.45,0.7888888888888889,0.7142857142857143
0.47,0.7011494252873564,0.625
0.49,0.7142857142857143,0.6086956521739131
0.51,0.8292682926829268,0.7333333333333333
0.52,0.7848101265822784,0.6744186046511628
0.54,0.7236842105263158,0.7560975609756098
0.56,0.7123287671232876,0.65
0.57,0.7571428571428571,0.6842105263157895
0.59,0.6764705882352942,0.5945945945945946
0.61,0.7230769230769231,0.6571428571428571
0.63,0.7096774193548387,0.6176470588235294
0.64,0.7627118644067796,0.5625
0.66,0.7678571428571429,0.7419354838709677
0.68,0.7169811320754716,0.6206896551724138
0.69,0.7254901960784313,0.6785714285714286
0.71,0.6875,0.7692307692307693
0.73,0.6666666666666666,0.68
0.75,0.7142857142857143,0.782608695652174
0.76,0.7435897435897436,0.6363636363636364
0.78,0.75,0.65
0.80,0.7647058823529411,0.8333333333333334
0.82,0.8064516129032258,0.7647058823529411
0.83,0.7857142857142857,0.6
0.85,0.76,0.5
mean±std,0.7359±0.0391,0.6674±0.0705
