train_size,accuracy
0.35,0.8023952095808383
0.37,0.7469135802469136
0.38,0.810126582278481
0.40,0.8051948051948052
0.42,0.8187919463087249
0.44,0.8137931034482758
0.45,0.7857142857142857
0.47,0.75
0.49,0.8333333333333334
0.51,0.7716535433070866
0.52,0.8048780487804879
0.54,0.7966101694915254
0.56,0.8333333333333334
0.57,0.8454545454545455
0.59,0.8380952380952381
0.61,0.8118811881188119
0.63,0.7916666666666666
0.64,0.8478260869565217
0.66,0.7931034482758621
0.68,0.7951807228915663
0.69,0.8227848101265823
0.71,0.8648648648648649
0.73,0.8714285714285714
0.75,0.7846153846153846
0.76,0.8360655737704918
0.78,0.8070175438596491
0.80,0.8269230769230769
0.82,0.875
0.83,0.813953488372093
0.85,0.8205128205128205
mean±std,0.8140±0.0305
